Workshop Name,Workshop Beschreibung,PoleStudio,Stadt,Straße,Datum,Uhrzeit,Dauer,Level,Trainer,Trainer Beschreibung,Preis,Workshop Everest Seite,PoleStudio Eversports Seite,Version
Pole meets dance mit Anna,in diesem tanzlastigen Workshop verbinden wir sinnliche Floorworkelemente fließend mit leichten Poletricks an der Static.in diesem tanzlastigen Workshop verbinden wir sinnliche Floorworkelemente fließend mit leichten Poletricks an der Static.,Pura Studio,Alsdorf,"Schaufenberger Straße 61, 52477 ",07.05.2023,13:15-14:15 Uhr,60 min,Alle Level,0,0,"Preis: 25,00 €",https://www.eversports.de/e/workshop/JruCmByb8,https://www.eversports.de/s/pura-studio,2023-05-03 15:58:35
Rücken Fit mit dem Spinefitter,"Wenn du nach einer effektiven Möglichkeit suchst, deine Rückenmuskulatur zu stärken und dich von schmerzhaften Verspannungen im Schulter- und Nackenbereich zu befreien, dann ist unser ""Rücken fit"" Kurs genau das Richtige für dich.In diesem 30-minütigen Kurs werden verschiedene Übungen mit dem spinefitter durchgeführt, um deine Muskeln zu lockern und Verspannungen gezielt zu behandeln. Selbst nach einem Bandscheibenvorfall kannst du mit dem spinefitter punktuelle Problemzonen massieren und so Schmerzen lindern.Du wirst deine Beweglichkeit verbessern und muskuläre Blockaden aktiv bekämpfen. Verabschiede dich von Rückenschmerzen und fühle dich fit und vital.Wenn du nach einer effektiven Möglichkeit suchst, deine Rückenmuskulatur zu stärken und dich von schmerzhaften Verspannungen im Schulter- und Nackenbereich zu befreien, dann ist unser ""Rücken fit"" Kurs genau das Richtige für dich.In diesem 30-minütigen Kurs werden verschiedene Übungen mit dem spinefitter durchgeführt, um deine Muskeln zu lockern und Verspannungen gezielt zu behandeln. Selbst nach einem Bandscheibenvorfall kannst du mit dem spinefitter punktuelle Problemzonen massieren und so Schmerzen lindern.Du wirst deine Beweglichkeit verbessern und muskuläre Blockaden aktiv bekämpfen. Verabschiede dich von Rückenschmerzen und fühle dich fit und vital.",Pura Studio,Alsdorf,"Schaufenberger Straße 61, 52477 ",07.05.2023,13:30-14:00 Uhr,30 min,Alle Level,Tanja,Inhaberin Pura Studio,"Preis: 22,90 €",https://www.eversports.de/e/workshop/omTezbcR2,https://www.eversports.de/s/pura-studio,2023-05-03 15:58:35
Hoop Flow,"Beginner Kurs für Aerial Hoop.Bitte eine lange enge Sporthose, ein T-shirt und ein Langarm Shirt mitbringen.Beginner Kurs für Aerial Hoop.Bitte eine lange enge Sporthose, ein T-shirt und ein Langarm Shirt mitbringen.",Pura Studio,Alsdorf,"Schaufenberger Straße 61, 52477 ",12.05.2023,20:15-21:15 Uhr,60 min,Alle Level,Maike,Inhaberin Pura Studio,"Preis: ab 29,00 €",https://www.eversports.de/e/workshop/uJKzjpYv8,https://www.eversports.de/s/pura-studio,2023-05-03 15:58:35
Rücken Fit mit dem Spinefitter,"Wenn du nach einer effektiven Möglichkeit suchst, deine Rückenmuskulatur zu stärken und dich von schmerzhaften Verspannungen im Schulter- und Nackenbereich zu befreien, dann ist unser ""Rücken fit"" Kurs genau das Richtige für dich.In diesem 30-minütigen Kurs werden verschiedene Übungen mit dem spinefitter durchgeführt, um deine Muskeln zu lockern und Verspannungen gezielt zu behandeln. Selbst nach einem Bandscheibenvorfall kannst du mit dem spinefitter punktuelle Problemzonen massieren und so Schmerzen lindern.Du wirst deine Beweglichkeit verbessern und muskuläre Blockaden aktiv bekämpfen. Verabschiede dich von Rückenschmerzen und fühle dich fit und vital.Wenn du nach einer effektiven Möglichkeit suchst, deine Rückenmuskulatur zu stärken und dich von schmerzhaften Verspannungen im Schulter- und Nackenbereich zu befreien, dann ist unser ""Rücken fit"" Kurs genau das Richtige für dich.In diesem 30-minütigen Kurs werden verschiedene Übungen mit dem spinefitter durchgeführt, um deine Muskeln zu lockern und Verspannungen gezielt zu behandeln. Selbst nach einem Bandscheibenvorfall kannst du mit dem spinefitter punktuelle Problemzonen massieren und so Schmerzen lindern.Du wirst deine Beweglichkeit verbessern und muskuläre Blockaden aktiv bekämpfen. Verabschiede dich von Rückenschmerzen und fühle dich fit und vital.",Pura Studio,Alsdorf,"Schaufenberger Straße 61, 52477 ",13.05.2023,13:15-13:45 Uhr,30 min,Alle Level,Maike,Inhaberin Pura Studio,"Preis: 22,90 €",https://www.eversports.de/e/workshop/CbHcdoEKz,https://www.eversports.de/s/pura-studio,2023-05-03 15:58:35
Pole meets dance mit Anna,in diesem tanzlastigen Workshop verbinden wir sinnliche Floorworkelemente fließend mit leichten Poletricks an der Static.in diesem tanzlastigen Workshop verbinden wir sinnliche Floorworkelemente fließend mit leichten Poletricks an der Static.,Pura Studio,Alsdorf,"Schaufenberger Straße 61, 52477 ",13.05.2023,15:30-16:30 Uhr,60 min,Alle Level,0,0,"Preis: 25,00 €",https://www.eversports.de/e/workshop/b8-Dnxtb2,https://www.eversports.de/s/pura-studio,2023-05-03 15:58:36
Circus Kids Luftakrobatik Workshop,"Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",07.05.2023,12:00-13:30 Uhr,90 min,0,Joana,"Profi durch & durch. Joana ist freiberufliche Tänzerin und Luftakrobatin.Die gebürtige Kanadierin studierte Tanz an der Fontys Tanzakademie in Tilburg und ist seit ihrem erfolgreichen Abschluss in 2008 in Musicals und Opern, auf Festivals und verschiedenen anderen Bühnen zu sehen.
Ihr Einstieg in die Luftakrobatik war ein Pole Dance Intensivkurs Anfang 2013. Ein paar Jahre später fügte sie weitere Schwerkrafttrotzende Disziplinen hinzu, wie z.B. Aerial Hoop, Silks und Net. In ihrer Arbeit liebt sie Herausforderungen und Nervenkitzel, im Privaten ist sie eher ruhig und besonnen. Sie legt gerne den Schwerpunkt in ihren Kursen auf effizientes und bewusstes Koordinieren in der Luft und auf dem Boden.
Teaching language: German, English & Dutch","Preis: 35,00 €",https://www.eversports.de/e/workshop/x1w0Mq3Y7,https://www.eversports.de/s/poda-studio,2023-05-03 15:58:36
Pole Dance Probestunde Poda Birthday Special Free,"It's Poda 8. Birthday!!!Alle Kurse sind heute kostenlos für alle :) Sichert euch jetzt euren Platz und kommt vorbei!Du möchtest Pole Dance mal ausprobieren? Dann bist du bei uns richtig!Es werden keine Kenntnisse vorausgesetzt um hier dran teilzunehmen. Lust was Neues auszuprobieren reicht.Kleidung kurze oder lange Hose (eine die sich über die Knie ziehen lässt, da wir uns mit der Haut an der Stange halten) ein Oberteil / Top *getanzt wird barfuß oder auf SockenMach mit!It's Poda 8. Birthday!!!Alle Kurse sind heute kostenlos für alle :) Sichert euch jetzt euren Platz und kommt vorbei!Du möchtest Pole Dance mal ausprobieren? Dann bist du bei uns richtig!Es werden keine Kenntnisse vorausgesetzt um hier dran teilzunehmen. Lust was Neues auszuprobieren reicht.Kleidung kurze oder lange Hose (eine die sich über die Knie ziehen lässt, da wir uns mit der Haut an der Stange halten) ein Oberteil / Top *getanzt wird barfuß oder auf SockenMach mit!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",07.05.2023,14:00-15:00 Uhr,60 min,Alle Level,Lena,"Lena liebt Tanzen! Mit 3. Jahren fing sie mit klassischem Ballett an, daraufhin folgten Jazz Dance, Hip Hop & Breakdance, Modern, Contemporary & Lyrical Dance und seit 2016 auch Pole Dance. Ihre Hingabe ans Tanzen sieht man wenn Sie an der Pole ist und spiegelt sich in ihrer sauberen Technik wieder. In ihrer Freizeit stickt und reist sie gerne, liebt Blumen & Katzen.
Lena studiert Englisch & Philosophie an der Universität Köln.
Teaching language: German & English","Preis: 0,00 €",https://www.eversports.de/e/workshop/xFwPArnAH,https://www.eversports.de/s/poda-studio,2023-05-03 15:58:36
Pole Fitness Poda Birthday Special Free,"It's Poda 8. Birthday!!!Alle Kurse sind heute kostenlos für alle :) Sichert euch jetzt euren Platz und kommt vorbei!Du möchtest Pole Fitness mal ausprobieren? Dann bist du bei uns richtig!Für alle die sich mal sportlich an der Pole versuchen möchten. Ohne Choreografie.Es werden keine Kenntnisse vorausgesetzt um hier dran teilzunehmen. Lust was Neues auszuprobieren reicht.Kleidung kurze oder lange Hose (eine die sich über die Knie ziehen lässt, da wir uns mit der Haut an der Stange halten) ein Oberteil / Top *trainiert wird barfuß oder auf SockenGet fit mit Pole Fitness!It's Poda 8. Birthday!!!Alle Kurse sind heute kostenlos für alle :) Sichert euch jetzt euren Platz und kommt vorbei!Du möchtest Pole Fitness mal ausprobieren? Dann bist du bei uns richtig!Für alle die sich mal sportlich an der Pole versuchen möchten. Ohne Choreografie.Es werden keine Kenntnisse vorausgesetzt um hier dran teilzunehmen. Lust was Neues auszuprobieren reicht.Kleidung kurze oder lange Hose (eine die sich über die Knie ziehen lässt, da wir uns mit der Haut an der Stange halten) ein Oberteil / Top *trainiert wird barfuß oder auf SockenGet fit mit Pole Fitness!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",07.05.2023,15:15-16:15 Uhr,60 min,Alle Level,Sarah,"Kreativ, verständnisvoll, Power woman!
Geprägt vom rheinischen Karneval, begann Sarah zunächst mit Garde- und Showtanz und übte sich später in anderen Tanzstilen wie Hip Hop, Breakdance und Dancehall. Sarah hat Psychologie in den Niederlanden studiert und macht aktuell die Ausbildung zur Psychotherapeutin in Köln. 2014, während eines Auslandssemesters in England, lernte sie Pole Dance kennen und war sofort Feuer und Flamme. Unser ""lekker meisje"" liebt Tricks an der Pole und kann auch auf Niederländisch unterrichten :-)
Teaching language: German, English & Dutch","Preis: 0,00 €",https://www.eversports.de/e/workshop/Sh6fqaIks,https://www.eversports.de/s/poda-studio,2023-05-03 15:58:36
Twerk Chair Poda Birthday Special Free,"It's Poda 8. Birthday!!!Alle Kurse sind heute kostenlos für alle :) Sichert euch jetzt euren Platz und kommt vorbei!Du möchtest Twerk & Chair ausprobieren? Dann bist du bei uns richtig!Hier wird geshaked was das Zeug hält. Lerne coole Twerk Moves gepaart mit Chair Dance Elementen.Es werden keine Kenntnisse vorausgesetzt um hier dran teilzunehmen. Lust was Neues auszuprobieren reicht.Kleidung kurze oder lange Hose, ein Oberteil / Top *getanzt wird barfuß oder auf SockenDance with us!It's Poda 8. Birthday!!!Alle Kurse sind heute kostenlos für alle :) Sichert euch jetzt euren Platz und kommt vorbei!Du möchtest Twerk & Chair ausprobieren? Dann bist du bei uns richtig!Hier wird geshaked was das Zeug hält. Lerne coole Twerk Moves gepaart mit Chair Dance Elementen.Es werden keine Kenntnisse vorausgesetzt um hier dran teilzunehmen. Lust was Neues auszuprobieren reicht.Kleidung kurze oder lange Hose, ein Oberteil / Top *getanzt wird barfuß oder auf SockenDance with us!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",07.05.2023,16:30-17:30 Uhr,60 min,0,Emmy,"Kreativ, offen, Allrounder & Tattoo lover.
Emmy hat mit vier Jahren ihre Liebe zum Tanzen entdeckt und lange Ballett getanzt. Anfang 20 entdeckte sie die Liebe zum Pole. Mittlerweile ist Luftakrobatik und Tanz kein Sport mehr, sondern eine Leidenschaft, die jeden Tag neu erfunden werden kann. Das ist was sie am meisten an diesen Sportarten fasziniert. Emmy hat ihren Master in Literatur und Kulturwissenschaften abgeschlossen und startet aktuell ins Berufsleben.
Teaching language: German & English","Preis: 0,00 €",https://www.eversports.de/e/workshop/feME-_7tG,https://www.eversports.de/s/poda-studio,2023-05-03 15:58:37
Hard Style Exotic Pole Workshop,Its getting hard & badass mit Celine. Hier geht es nicht um klassische sexy Heelmoves sondern um crazy Jumps & Kicks mit Heels on Pole. Celine zeigt dir eine Pole Choreography im Hard Style die es in sich hat.Was ihr mitbringen solltet:Meld dich an und lass die Bad Bitch in dir raus!Preis: 35€ pro Person / 30€ für Poda Mitglieder mit AboIts getting hard & badass mit Celine. Hier geht es nicht um klassische sexy Heelmoves sondern um crazy Jumps & Kicks mit Heels on Pole. Celine zeigt dir eine Pole Choreography im Hard Style die es in sich hat.Was ihr mitbringen solltet:Meld dich an und lass die Bad Bitch in dir raus!Preis: 35€ pro Person / 30€ für Poda Mitglieder mit Abo,poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",14.05.2023,12:00-13:30 Uhr,90 min,Alle Level,Celine,"Pole Trainerin
Witzig & a little bit crazy. Celine tanzte lange Youtube-Videos nach, bis sie irgendwann entschied im Poda eine neue Leidenschaft zu entdecken und verliebte sich schnell in die verschiedensten Exotic-Stile, kraftvolle Tricks und jede weitere Herausforderung, die der Pole Sport zu bieten hat.
Mit ihrer lockeren Art unterrichtet sie seit Ende 2022 und liebt es ihre Begeisterung mit anderen zu teilen. Neben Pole studiert Celine Maschinenbau an der RWTH, probiert sich immer wieder an neuen Hobbys, liebt alles rund um Musik und zockt gelegentlich
Teaching language: German, English & Korean","Preis: 35,00 €",https://www.eversports.de/e/workshop/dCR2PVd05,https://www.eversports.de/s/poda-studio,2023-05-03 15:58:37
